Family;Qsize_R1;Qsize_R2;Cur_Charge_comparable_R1;Cur_Charge_comparable_R2;Exp_Charge__R1;Exp_Charge__R2;Exp_ChargeRates_R1;Exp_ChargeRates_R2;Exp_Charge__comparable_R1;Exp_Charge__comparable_R2;Eff_Gross_R1;Eff_Gross_R2;predFamilies_R1;predFamilies_R2;Cell%__c1;Cell%__c2;Cell%__c3;Selected Resource_0.0;Selected Resource_1.0
2.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;0.8;0.8;0.0;0.0;0.0;0.0;0.0;1;0
4.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;0.6666666666666666;0.0;1.0;0.8;0.8;0.0;0.0;1.0;0.0;0.0;0;1
4.0;0.0;1.0;0.0;1.0;0.0;1.0;0.625;0.8333333333333334;0.0;1.0;1.3333333333333333;0.6666666666666666;0.0;1.0;1.0;0.0;0.0;0;1
2.0;0.0;2.0;0.0;1.0;0.0;1.0;0.4444444444444444;0.9;0.0;1.0;0.75;1.0;1.0;0.0;1.0;0.0;0.0;1;0
4.0;0.0;1.0;0.0;1.0;0.0;1.0;0.6363636363636364;0.6666666666666666;0.0;1.0;1.3333333333333333;0.6666666666666666;0.0;1.0;1.0;0.0;0.0;0;1
4.0;0.0;2.0;0.0;1.0;0.0;1.0;0.5454545454545454;0.7777777777777778;0.0;1.0;1.3333333333333333;0.6666666666666666;0.0;1.0;0.875;0.125;0.0;0;1
1.0;0.0;3.0;0.0;1.0;0.0;1.0;0.5333333333333333;0.8666666666666667;0.0;1.0;0.8571428571428571;0.8571428571428571;0.0;0.0;0.9;0.1;0.0;1;0
3.0;1.0;2.0;0.0;1.0;0.0;1.0;0.6470588235294118;0.6470588235294118;0.0;1.0;0.8333333333333334;0.8333333333333334;0.0;0.0;1.0;0.0;0.0;0;1
3.0;1.0;2.0;0.0;1.0;0.0;1.0;0.5263157894736842;0.7058823529411765;0.0;1.0;1.25;0.75;0.0;1.0;0.8235294117647058;0.058823529411764705;0.11764705882352941;0;1
3.0;1.0;3.0;0.0;1.0;0.0;1.0;0.45454545454545453;0.75;0.0;1.0;1.25;0.75;0.0;1.0;0.85;0.05;0.1;0;1
5.0;1.0;4.0;0.0;1.0;0.0;1.0;0.3181818181818182;0.7727272727272727;0.0;1.0;0.6666666666666666;0.6666666666666666;0.0;0.0;0.8695652173913043;0.043478260869565216;0.08695652173913043;1;0
2.0;1.0;4.0;0.0;1.0;0.0;1.0;0.44;0.72;0.0;1.0;0.8;0.8;0.0;0.0;0.9130434782608695;0.043478260869565216;0.043478260869565216;1;0
2.0;2.0;4.0;0.0;1.0;0.0;1.0;0.5;0.6206896551724138;0.0;1.0;0.75;1.0;1.0;0.0;0.9259259259259259;0.037037037037037035;0.037037037037037035;1;0
4.0;3.0;3.0;0.0;1.0;0.0;1.0;0.5666666666666667;0.5666666666666667;0.0;1.0;0.8;0.8;0.0;0.0;0.9285714285714286;0.0;0.07142857142857142;0;1
1.0;3.0;4.0;0.0;1.0;0.0;1.0;0.5277777777777778;0.6388888888888888;0.0;1.0;0.8571428571428571;0.8571428571428571;0.0;0.0;0.9375;0.0;0.0625;0;1
2.0;3.0;5.0;0.0;1.0;0.0;1.0;0.40540540540540543;0.6842105263157895;0.0;1.0;0.75;1.0;1.0;0.0;0.9444444444444444;0.0;0.05555555555555555;1;0
3.0;4.0;5.0;0.0;1.0;0.0;1.0;0.47368421052631576;0.6578947368421053;0.0;1.0;0.8333333333333334;0.8333333333333334;0.0;0.0;0.9705882352941176;0.0;0.029411764705882353;1;0
5.0;4.0;4.0;0.0;1.0;0.0;1.0;0.47058823529411764;0.5882352941176471;0.0;1.0;0.6666666666666666;0.6666666666666666;0.0;0.0;0.9411764705882353;0.0;0.058823529411764705;0;1
4.0;3.0;5.0;0.0;1.0;0.0;1.0;0.4594594594594595;0.6486486486486487;0.0;1.0;0.8;0.8;0.0;0.0;1.0;0.0;0.0;0;1
3.0;3.0;5.0;0.0;1.0;0.0;1.0;0.40540540540540543;0.6923076923076923;0.0;1.0;0.75;1.25;1.0;0.0;0.9444444444444444;0.0;0.05555555555555555;1;0
2.0;4.0;5.0;0.0;1.0;0.0;1.0;0.46153846153846156;0.6410256410256411;0.0;1.0;0.8;0.8;0.0;0.0;0.9722222222222222;0.0;0.027777777777777776;0;1
2.0;4.0;6.0;0.0;1.0;0.0;1.0;0.4090909090909091;0.6744186046511628;0.0;1.0;1.0;0.75;0.0;1.0;0.975609756097561;0.0;0.024390243902439025;0;1
1.0;3.0;7.0;0.0;1.0;0.0;1.0;0.40425531914893614;0.723404255319149;0.0;1.0;0.8571428571428571;0.8571428571428571;0.0;0.0;0.9761904761904762;0.0;0.023809523809523808;0;1
3.0;3.0;8.0;0.0;1.0;0.0;1.0;0.32653061224489793;0.7450980392156863;0.0;1.0;0.75;1.25;1.0;0.0;0.9787234042553191;0.0;0.02127659574468085;1;0
5.0;4.0;7.0;0.0;1.0;0.0;1.0;0.3469387755102041;0.6938775510204082;0.0;1.0;0.6666666666666666;0.6666666666666666;0.0;0.0;0.9791666666666666;0.020833333333333332;0.0;1;0
1.0;5.0;7.0;0.0;1.0;0.0;1.0;0.42592592592592593;0.6730769230769231;0.0;1.0;1.2;0.8;0.0;1.0;0.9795918367346939;0.02040816326530612;0.0;0;1
1.0;4.0;8.0;0.0;1.0;0.0;1.0;0.3888888888888889;0.7115384615384616;0.0;1.0;1.2;0.8;0.0;1.0;0.96;0.02;0.02;0;1
5.0;4.0;9.0;0.0;1.0;0.0;1.0;0.3018867924528302;0.7222222222222222;0.0;1.0;0.5;1.0;1.0;0.0;0.9629629629629629;0.018518518518518517;0.018518518518518517;1;0
