P1;2;5;6;Unnamed: 4
P2;2;5;6;
P3;1;5;7;
P4;1;5;7;
P5;2;5;7;
P6;2;5;7;
P7;1;5;6;
P8;2;5;6;
P9;1;5;7;
P10;2;5;6;
P11;1;5;7;
P12;2;5;6;
P13;1;5;7;
P14;2;5;6;
P15;2;5;6;
P16;2;5;6;
P17;1;5;7;
P18;2;5;7;
P19;1;5;7;
P20;1;5;7;
P21;1;5;6;
P22;1;5;6;
P23;2;5;7;
P24;2;5;6;
P25;1;5;6;
P26;1;5;7;
P27;1;5;7;
P28;1;5;7;
P29;2;5;6;
P30;2;5;7;
P31;1;4;6;
P32;2;5;7;
P33;1;5;6;
P34;1;5;7;
P35;2;5;7;
P36;1;5;7;
P37;2;5;7;
P38;2;5;6;
P39;2;5;6;
P40;1;5;7;
P41;2;5;6;
P42;1;5;7;
P43;2;5;6;
P44;2;5;6;
P45;2;5;6;
P46;2;5;7;
P47;1;5;7;
P48;1;5;7;
P49;2;5;6;
P50;2;5;6;
P51;1;5;7;
P52;2;5;7;
P53;1;5;6;
P54;1;5;6;
P55;2;5;7;
P56;2;5;6;
